v1,v2,,
ham,"Продам наушники Sony за 1500 рублей, почти новые. Пишите в личку"
ham,Привет! Ты продавал зарядку для iPhone? Нужна срочно.
spam,"Бесплатный вход в 2 еженедельных соревнованиях для победы в финале Кубка Англии 21 мая 2005 года. Отправьте сообщение FA на номер 87121, чтобы получить вступительный вопрос (стандартная скорость передачи текста). Условия и положения применяются 08452810075over18."
ham,"Спасибо за книгу, она в отличном состоянии!"
ham,"Нет, я не думаю, что он живет в квартире, хотя он живет где-то здесь"
spam,"FreeMsg Привет, дорогая, прошло уже 3 недели, а ответа нет! Я бы хотел немного развлечься, ты все еще готов к этому? ТБ ок! XxX std chgs для отправки, 1,50 в rcv"
ham,Даже мой брат не любит со мной разговаривать. Они относятся ко мне как к патенту на СПИД.
ham,"Привет, а ты можешь скинуть фото этой футболки поближе? Можем списаться в тг"
spam,"ПОБЕДИТЕЛЬ!! Как ценный клиент сети, вы были выбраны для получения призового вознаграждения в размере 900 долларов! Чтобы подать заявку, позвоните по телефону 09061701461. Код претензии KL341. Действует только 12 часов."
spam,Ваш мобильный телефон прослужил 11 месяцев или больше? Вы имеете право на бесплатное обновление новейших цветных мобильных телефонов с камерой! БЕСПЛАТНО позвоните в Mobile Update Co по номеру 08002986030.
ham,"Я скоро буду дома и не хочу больше говорить об этом сегодня вечером, ладно? Я сегодня достаточно плакала."
spam,"ШЕСТЬ шансов выиграть НАЛИЧНЫЕ! От 100 до 20 000 фунтов txt> CSH11 и отправьте на номер 87575. Стоимость 150 пенсов в день, 6 дней, применяется 16+ TsandC Ответить HL 4 info"
spam,СРОЧНАА! Вы выиграли 1 неделю БЕСПЛАТНОГО членства в нашем призовом джекпоте в 100 000 долларов! Отправьте сообщение: CLAIM на номер: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18.
ham,"Я искал правильные слова, чтобы поблагодарить тебя за эту передышку. Обещаю, что не приму вашу помощь как должное и выполню свое обещание. Ты всегда был замечательным и благословенным человеком."
ham,У МЕНЯ СВИДАНИЕ С УИЛЛОМ В ВОСКРЕСЕНЬЕ!!
spam,"XXXMobileMovieClub: Чтобы использовать свой кредит, щелкните ссылку WAP в следующем текстовом сообщении или щелкните здесь>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Ой блин... я смотрю здесь :)
ham,"Эх, ты помнишь, как пишется его имя... Да, я это сделал. Он шалит, пока я не промокну."
ham,"Хорошо, если ты так чувствуешь. Вот так оно и должно быть."
spam,"Англия – Македония – не пропустите голы/новости команды. Отправьте сообщение о своей национальной сборной на номер 87077, например, АНГЛИЯ на номер 87077. Попробуйте: WALES, SCOTLAND 4txt/̼1.20 POBOXox36504W45WQ 16+"
ham,Ты серьезно так пишешь его имя?
ham,"Я попробую 2 месяца, ха-ха, шучу"
ham,"Итак, сначала заплати Лар... Потом, когда появятся акции..."
ham,"После того, как я закончу обед, я пойду вниз. Ард 3 что-л. лор. Ты уже закончил обед?"
ham,"Ффффффффф. Хорошо, я не смогу встретиться с тобой раньше?"
ham,"Просто заставил себя съесть кусочек. Хотя я действительно не голоден. Это отстой. Марк начинает волноваться. Он знает, что меня тошнит, когда я отказываюсь от пиццы. Ржу не могу"
ham,"Лол, ты всегда такой убедительный."
ham,Ты успел на автобус? Ты жаришь яйцо? Ты заварила чай? Ты доедаешь остатки маминого ужина? Ты чувствуешь мою Любовь?
ham,"Я вернулся и мы сейчас пакуем машину, я сообщу, если найдется место"
ham,Аааа. Работа. Я это смутно помню! На что это похоже? Ржу не могу
ham,"Подожди, это еще не все так ясно, ты не уверен, что я саркастичен или именно поэтому x не хочет жить с нами"
ham,"Да, он пришел в 2 и извинялся. Он поссорился, и она вела себя как избалованный ребенок, и он втянулся в это. До 2! Но мы не пойдем туда! Не так уж и плохо, ура. Ты?"
ham,"К., расскажи мне что-нибудь о себе."
ham,"Из-за страха упасть в обморок от всей той работы по дому, которую ты только что сделал? Быстро выпейте чашку чаю"
spam,"Спасибо за подписку на Ringtone UK, с вашего мобильного телефона будет взиматься плата в размере 5 раз в месяц. Пожалуйста, подтвердите, ответив ДА или НЕТ. Если вы ответите «НЕТ», с вас не будет взиматься плата."
ham,"Ага... Хорошо, я пойду домой, посмотрю расписание, потом снова отправлю сообщение _... Сюйхуэй тоже собирается учиться 2 мая, но ее урок в 8 утра"
